book,group,keyword,page,ctx_before,ctx_after
xianzhi,A,大会,p-0036,"书记)。4月19日“苍溪县第一届第一次各界人民代表","在县城召开。会议就征粮、剿匪、肃特、生产、文教、行政、工商、医务、人民币、公债、救济和禁烟等问题作出决议。6月23日解放军五四六团侦察连与县警卫营、县大队、公安队在龙王一带全歼“杨氏五郎“匪部,匪首杨学怀、杨明忠、杨言忠、杨恪忠、杨克忠被擒获。之后又将匪"
xianzhi,A,征粮,p-0036,"溪县第一届第一次各界人民代表大会在县城召开。会议就","、剿匪、肃特、生产、文教、行政、工商、医务、人民币、公债、救济和禁烟等问题作出决议。6月23日解放军五四六团侦察连与县警卫营、县大队、公安队在龙王一带全歼“杨氏五郎“匪部,匪首杨学怀、杨明忠、杨言忠、杨恪忠、杨克忠被擒获。之后又将匪"
xianzhi,A,剿匪,p-0036,"一届第一次各界人民代表大会在县城召开。会议就征粮、","、肃特、生产、文教、行政、工商、医务、人民币、公债、救济和禁烟等问题作出决议。6月23日解放军五四六团侦察连与县警卫营、县大队、公安队在龙王一带全歼“杨氏五郎“匪部,匪首杨学怀、杨明忠、杨言忠、杨恪忠、杨克忠被擒获。之后又将匪"
xianzhi,A,肃特,p-0036,"一次各界人民代表大会在县城召开。会议就征粮、剿匪、","、生产、文教、行政、工商、医务、人民币、公债、救济和禁烟等问题作出决议。6月23日解放军五四六团侦察连与县警卫营、县大队、公安队在龙王一带全歼“杨氏五郎“匪部,匪首杨学怀、杨明忠、杨言忠、杨恪忠、杨克忠被擒获。之后又将匪"
xianzhi,A,匪,p-0036,"县警卫营、县大队、公安队在龙王一带全歼“杨氏五郎“","部,匪首杨学怀、杨明忠、杨言忠、杨恪忠、杨克忠被擒获。之后又将匪"
xianzhi,A,匪首,p-0036,"营、县大队、公安队在龙王一带全歼“杨氏五郎“匪部,","杨学怀、杨明忠、杨言忠、杨恪忠、杨克忠被擒获。之后又将匪"
xianzhi,A,抓获,p-0037,"“22。苍漫县志首苏雄飞","。9月23日县人民法庭成立。县军队复员委员会成立,开始接收安置第一批复员军人。11月24日“全县清匪反霸、喜租退押工作开始.同时,废除旧乡保、甲制度,建立乡、村人民政权。12月6日_县人民政府在县城召开禁烟禁毒大会,宣布县禁烟禁毒委员会成立。当众烧毁鸦片烟具三大筐、鸦片烟86两5"
xianzhi,A,人民法庭,p-0037,"“22。苍漫县志首苏雄飞抓获。9月23日县","成立。县军队复员委员会成立,开始接收安置第一批复员军人。11月24日“全县清匪反霸、喜租退押工作开始.同时,废除旧乡保、甲制度,建立乡、村人民政权。12月6日_县人民政府在县城召开禁烟禁毒大会,宣布县禁烟禁毒委员会成立。当众烧毁鸦片烟具三大筐、鸦片烟86两5钱2分,公审烟毒犯黄玉"
xianzhi,A,清匪,p-0037,"立,开始接收安置第一批复员军人。11月24日“全县","反霸、喜租退押工作开始.同时,废除旧乡保、甲制度,建立乡、村人民政权。12月6日_县人民政府在县城召开禁烟禁毒大会,宣布县禁烟禁毒委员会成立。当众烧毁鸦片烟具三大筐、鸦片烟86两5钱2分,公审烟毒犯黄玉书等3人。之后各区、乡成立戒烟所,至1951年底,县内大部分烟民到戒烟所登记并"
xianzhi,A,反霸,p-0037,"开始接收安置第一批复员军人。11月24日“全县清匪","、喜租退押工作开始.同时,废除旧乡保、甲制度,建立乡、村人民政权。12月6日_县人民政府在县城召开禁烟禁毒大会,宣布县禁烟禁毒委员会成立。当众烧毁鸦片烟具三大筐、鸦片烟86两5钱2分,公审烟毒犯黄玉书等3人。之后各区、乡成立戒烟所,至1951年底,县内大部分烟民到戒烟所登记并戒绝"
